arquivo_moss,dataset,prevalencia_real,prev_moss,erro_moss,erro_dys,n_amostras,var_scores,entropy,prev_dyssyn,erro_dyssyn
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.15,0.144851333,0.005148667,0.003,100,0.106529329,1.302823775,0.160798016,0.010798016
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.2,0.191755333,0.008244667,0.01,100,0.131514306,1.515456952,0.2107863,0.0107863
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.25,0.261132667,0.011132667,0.02,100,0.160492306,1.480500779,0.250913521,0.000913521
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.3,0.289996,0.010004,0.003,100,0.174699889,1.653704719,0.309153611,0.009153611
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.35,0.321328,0.028672,0.008,100,0.191353834,1.320534563,0.344156784,0.005843216
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.4,0.385901333,0.014098667,0.002,100,0.20404219,1.527852217,0.369931595,0.030068405
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.44,0.413354,0.026646,0.001,100,0.208229444,1.647343325,0.421888842,0.018111158
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.49,0.472757667,0.017242333,0.023,100,0.20234416,1.770426921,0.477421004,0.012578996
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.54,0.54774,0.00774,0.024,100,0.205941799,1.696321079,0.537935226,0.002064774
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.6,0.609486667,0.009486667,0.025,100,0.20244811,1.62499281,0.602456442,0.002456442
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.65,0.618954333,0.031045667,0.013,100,0.192324782,1.773863186,0.617531081,0.032468919
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.7,0.681024667,0.018975333,0.016,100,0.183147262,1.639045361,0.729700359,0.029700359
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.75,0.742297667,0.007702333,0.005,100,0.158652466,1.521996964,0.740075848,0.009924152
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.8,0.789920333,0.010079667,0.024,100,0.139144738,1.60116195,0.801017068,0.001017068
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.85,0.823641333,0.026358667,0.004,100,0.122247488,1.606247547,0.851230637,0.001230637
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.9,0.877025333,0.022974667,0.011,100,0.088282377,1.327488495,0.901039213,0.001039213
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.95,0.964647333,0.014647333,0.022,100,0.038439479,1.284927742,0.949276443,0.000723557
moss_5_95.pkl,1504_steel-plates-fault.csv,0.05,0.034015333,0.015984667,0.024,100,0.040104599,2.096824639,0.040468602,0.009531398
moss_5_95.pkl,1504_steel-plates-fault.csv,0.1,0.077107,0.022893,0.008,100,0.05512276,2.230811133,0.095520609,0.004479391
moss_5_95.pkl,1504_steel-plates-fault.csv,0.15,0.177700667,0.027700667,0.006,100,0.079917488,2.39294499,0.118781169,0.031218831
moss_5_95.pkl,1504_steel-plates-fault.csv,0.2,0.186904,0.013096,0.028,100,0.09282475,2.292344398,0.199961083,3.89E-05
